Date,Open,High,Low,Close,Adj Close,Volume
05/10/2023,440.5,449,438.8800049,446.8800049,446.8197632,39348300
06/10/2023,441.9299927,457.8900146,440.2600098,457.6199951,457.5583191,43339700
09/10/2023,448.4200134,456.0499878,443.6799927,452.730011,452.6689758,40967500
10/10/2023,453.1000061,462.5899963,450.8800049,457.980011,457.9182739,36858200
11/10/2023,461.9599915,468.5899963,460.5,468.0599976,467.9969177,37813700
12/10/2023,467.769989,476.0899963,463.2999878,469.4500122,469.3867188,48132500
13/10/2023,469.6000061,471.1600037,452.7999878,454.6099854,454.5486755,47411500
16/10/2023,450.6300049,462.25,449.1199951,460.9500122,460.8878784,37509900
17/10/2023,440,447.5400085,424.7999878,439.3800049,439.3207703,81233300
18/10/2023,425.9100037,432.1900024,418.25,421.9599915,421.9030762,62729400
19/10/2023,428.1099854,432.9700012,418.8200073,421.0100098,420.9532471,50123300
20/10/2023,418.8999939,424.7000122,410.7799988,413.8699951,413.814209,47638100
23/10/2023,412.2900085,432.480011,409.4500122,429.75,429.6920471,47853000
24/10/2023,430.769989,436.9700012,426.9100037,436.6300049,436.5711365,40146300
25/10/2023,433.980011,436.5,415.5499878,417.7900085,417.7336731,39837900
26/10/2023,418.5299988,422.5599976,398.7999878,403.2600098,403.2056274,54100100
27/10/2023,411.2999878,412.0599976,400.1499939,405,404.9454041,41678400
30/10/2023,410.8699951,417.6600037,404.8099976,411.6099854,411.5544739,38802800
31/10/2023,404.5,408.7900085,392.2999878,407.7999878,407.7449951,51796900
01/11/2023,408.8399963,423.8099976,408.6900024,423.25,423.1929321,43759300
02/11/2023,433.2799988,438.8399963,428.9400024,435.0599976,435.0013428,40917200
03/11/2023,440.2000122,453.0899963,437.230011,450.0499878,449.9892883,42385500
06/11/2023,452.8500061,459.3500061,448.9899902,457.5100098,457.4483337,40073300
07/11/2023,457.1900024,462.1799927,451.5799866,459.5499878,459.4880371,34316500
08/11/2023,461,468.6700134,459.6799927,465.7399902,465.6771851,34671900
09/11/2023,474.6700134,482.2999878,467.5,469.5,469.436676,54049600
10/11/2023,475,484.7200012,472.8299866,483.3500061,483.2848511,42124500
13/11/2023,483.2000122,491.1600037,480.9899902,486.2000122,486.1344604,38413600
14/11/2023,496.7999878,498.3399963,490.3999939,496.5599976,496.493042,41695400
15/11/2023,499.3500061,499.6000061,482,488.8800049,488.8141174,47549700
16/11/2023,486.7900085,495.25,483.2999878,494.7999878,494.7333069,33975600
17/11/2023,495.2399902,497.1700134,490.0700073,492.980011,492.9135437,32520500
20/11/2023,493.1199951,505.480011,491.8099976,504.0899963,504.0220337,41412000
21/11/2023,501.2600098,505.1700134,492.2200012,499.4400024,499.3726501,56574700
22/11/2023,498.519989,503.3500061,476.8999939,487.1600037,487.0943298,89942000
24/11/2023,484.7000122,489.2099915,477.4500122,477.7600098,477.6956177,29464500
27/11/2023,478,485.2999878,476.519989,482.4200134,482.3549805,39566200
